behavior_category,behavior_value,behavior_type,total_cases,inr_changed_cases,inr_change_rate,comparison_rate,rate_difference,chi2,p_value,impact_score,significance
Status,Improved to range,Categorical,28,0,0.0,77.77777777777779,77.77777777777779,46.38871173469387,9.697256799869376e-12,46.388711734244026,Significant
Status,Persistently low,Categorical,24,24,100.0,42.10526315789473,57.89473684210527,22.51803158464343,2.0818025050426932e-06,22.51798470654887,Significant
Status,Out of range decreased,Categorical,14,14,100.0,48.837209302325576,51.162790697674424,10.798555680200197,0.0010157931614497785,10.787586581186716,Significant
Status,Out of range increased,Categorical,11,11,100.0,50.56179775280899,49.43820224719101,7.808292320549727,0.005200702675865508,7.7676837137843044,Significant
Status,Same in range but increased,Categorical,6,0,0.0,59.57446808510638,59.57446808510638,5.885891590678824,0.015262667668021404,5.796057183400291,Significant
Status,Same in range,Categorical,6,0,0.0,59.57446808510638,59.57446808510638,5.885891590678824,0.015262667668021404,5.796057183400291,Significant
Status,Persistently high,Categorical,7,7,100.0,52.68817204301075,47.31182795698925,4.14970973726734,0.041641661529094286,3.9769089289440664,Significant
Status,Same in range but decreased,Categorical,4,0,0.0,58.333333333333336,58.333333333333336,3.199827516233767,0.07364603682355211,2.9641729011441997,Not Significant
"If Yes
How often did you eat leafy greens (spinach, kale, etc.) this week?",3-4 times,Categorical,15,12,80.0,51.76470588235295,28.23529411764705,3.0589508530684997,0.08029349750642871,2.8133369903753565,Not Significant
"If Yes ,
How many extra doses?",2.0,Categorical,13,4,30.76923076923077,59.77011494252874,29.000884173297973,2.7732325146118257,0.0958524141520057,2.507411483081445,Not Significant
"If Yes
How often did you eat leafy greens (spinach, kale, etc.) this week?",5+ times,Categorical,19,7,36.84210526315789,60.49382716049383,23.65172189733594,2.600039661443171,0.10686104073653527,2.322196717265085,Not Significant
Did you take any extra doses by mistake?,Yes,Binary,24,10,41.66666666666667,60.526315789473685,18.859649122807014,1.923220693779903,0.1655020473981711,1.604923731360798,Not Significant
Did you notice any symptoms,Shivering,Categorical,12,4,33.33333333333333,59.09090909090909,25.757575757575765,1.894093122786304,0.16874097947257333,1.5744819940350778,Not Significant
"If Yes
What kind of change?",Increased protein intake,Categorical,5,1,20.0,57.89473684210527,37.89473684210527,1.4439507860560483,0.22950108585479126,1.1125625127353058,Not Significant
Name of the medicine,Panadol,Categorical,5,1,20.0,57.89473684210527,37.89473684210527,1.4439507860560483,0.22950108585479126,1.1125625127353058,Not Significant
On which days did you consume them?,Regularly,Categorical,15,11,73.33333333333333,52.94117647058824,20.39215686274509,1.4037433155080214,0.2360978217887862,1.072322576366009,Not Significant
Did you take any action after realizing the missed dose?,Took extra dose,Categorical,12,9,75.0,53.40909090909091,21.590909090909093,1.2176861963793786,0.26981521530453567,0.8891359331299155,Not Significant
On which days did you consume them?,Occasionally,Categorical,13,5,38.46153846153847,58.620689655172406,20.15915119363394,1.1369377748688099,0.28630032219167506,0.8114321236119835,Not Significant
What was your INR value two months ago?,2.4,Categorical,3,3,100.0,54.63917525773196,45.36082474226804,0.9377649841567368,0.3328532941240841,0.6256268200659475,Not Significant
Name of the medicine,Amoxicillin,Categorical,3,3,100.0,54.63917525773196,45.36082474226804,0.9377649841567368,0.3328532941240841,0.6256268200659475,Not Significant
Were these doses missed consecutively or on different days?,Consecutively,Categorical,6,5,83.33333333333334,54.25531914893617,29.078014184397176,0.9351685548494062,0.3335234709520914,0.6232678925107811,Not Significant
Missed Dose Frequency Category,Frequently (>5 times),Categorical,14,10,71.42857142857143,53.48837209302325,17.94019933554818,0.92885727229581,0.33516003829684965,0.6175414333408391,Not Significant
Leafy Greens Consumption Category,Low (1-2 times),Categorical,24,11,45.83333333333333,59.210526315789465,13.377192982456137,0.837409575074048,0.36013868610247746,0.5358259909772464,Not Significant
Did you notice any symptoms,Muscle aches,Categorical,11,8,72.72727272727273,53.93258426966292,18.794688457609816,0.744365440483929,0.3882660503737586,0.45535361087251086,Not Significant
Usual portion size:,15g-20g,Categorical,16,11,68.75,53.57142857142857,15.17857142857143,0.7161458333333328,0.3974110630857077,0.43154155638393293,Not Significant
How often do you usually forget to take warfarin in a month?,1-2 times,Categorical,8,6,75.0,54.347826086956516,20.652173913043484,0.5736960050818748,0.4487939490165702,0.3162247094261499,Not Significant
Portion Size Category,Small (8g-15g),Categorical,18,12,66.66666666666666,53.65853658536586,13.008130081300799,0.5544337099215151,0.45651172038995436,0.30132822316305935,Not Significant
Who recommended the change?,Self,Categorical,10,4,40.0,57.77777777777777,17.77777777777777,0.5456349206349205,0.4601067688882856,0.29458460030897105,Not Significant
Did you notice any symptoms,Fever,Categorical,8,3,37.5,57.608695652173914,20.108695652173914,0.5295825098814229,0.46678243387711194,0.2823826969802226,Not Significant
Usual portion size:,8g-10g,Categorical,8,3,37.5,57.608695652173914,20.108695652173914,0.5295825098814229,0.46678243387711194,0.2823826969802226,Not Significant
On which days did you consume them?,Twice a week,Categorical,20,13,65.0,53.75,11.25,0.42867288961038963,0.5126408605609667,0.20891765058136322,Not Significant
Did you notice any symptoms,Headache,Categorical,10,7,70.0,54.44444444444444,15.555555555555557,0.3652597402597404,0.5455995223759655,0.1659742004308568,Not Significant
Did you notice any symptoms,No Symptoms observed,Categorical,10,7,70.0,54.44444444444444,15.555555555555557,0.3652597402597404,0.5455995223759655,0.1659742004308568,Not Significant
Did you miss any warfarin doses this week?,Yes,Binary,36,22,61.111111111111114,53.125,7.986111111111114,0.3162906971500723,0.5738453739203869,0.1347887437764492,Not Significant
Were these doses missed consecutively or on different days?,Different Days,Categorical,17,8,47.05882352941176,57.831325301204814,10.772501771793053,0.2992489438272572,0.584353649024619,0.12438173153503623,Not Significant
Did you notice any symptoms,Bruising,Categorical,15,7,46.666666666666664,57.647058823529406,10.980392156862742,0.2578304048892285,0.6116146289241281,0.1001375574775453,Not Significant
On which days did you consume them?,Once a week,Categorical,13,6,46.15384615384615,57.47126436781609,11.317418213969937,0.21831616659202885,0.6403259208299172,0.07852266618693036,Not Significant
Leafy Greens Consumption Category,High (5+ times),Categorical,26,16,61.53846153846154,54.054054054054056,7.484407484407484,0.186384561384561,0.6659429066440006,0.0622630848225593,Not Significant
Did you inform your healthcare doctor?,Yes,Binary,49,29,59.183673469387756,52.94117647058824,6.242496998799517,0.18247558763765204,0.6692543351462951,0.060353009552785726,Not Significant
Missed Dose Frequency Category,Rarely (1-2 times),Categorical,11,5,45.45454545454545,57.30337078651685,11.848825331971398,0.18057784911717484,0.6708771157703786,0.05943230252942598,Not Significant
Did you notice any symptoms,"Shivering, Muscle pain, Headache",Categorical,14,9,64.28571428571429,54.65116279069767,9.634551495016623,0.14683198860939708,0.701581395236085,0.043817397175527344,Not Significant
Usual portion size:,25g-30g,Categorical,14,9,64.28571428571429,54.65116279069767,9.634551495016623,0.14683198860939708,0.701581395236085,0.043817397175527344,Not Significant
When did you make these changes?,1 week ago,Categorical,7,3,42.857142857142854,56.98924731182796,14.132104454685106,0.10997067448680355,0.7401775249481735,0.02857285282828005,Not Significant
Have you made any major dietary changes recently?,Yes,Binary,29,15,51.724137931034484,57.74647887323944,6.022340942204956,0.1079360173580668,0.742506298131958,0.027792844674421856,Not Significant
What was the reason for missing the dose?,Ran out of tablets,Categorical,9,6,66.66666666666666,54.94505494505495,11.721611721611708,0.10485546199831916,0.746078908477158,0.026625013362745083,Not Significant
Portion Size Category,Medium (15g-25g),Categorical,18,9,50.0,57.3170731707317,7.317073170731703,0.09249727237532107,0.7610260772079018,0.022104436027099654,Not Significant
What was the reason for missing the dose?,Side effects,Categorical,4,3,75.0,55.208333333333336,19.791666666666664,0.0714454816017315,0.7892436713614204,0.015057587400196118,Not Significant
What is your current INR value?,2.1,Categorical,4,3,75.0,55.208333333333336,19.791666666666664,0.0714454816017315,0.7892436713614204,0.015057587400196118,Not Significant
What was the reason for missing the dose?,Travelling,Categorical,4,3,75.0,55.208333333333336,19.791666666666664,0.0714454816017315,0.7892436713614204,0.015057587400196118,Not Significant
On which days did you miss them?,Multiple days,Categorical,4,3,75.0,55.208333333333336,19.791666666666664,0.0714454816017315,0.7892436713614204,0.015057587400196118,Not Significant
Name of the medicine,Verapamil,Categorical,4,3,75.0,55.208333333333336,19.791666666666664,0.0714454816017315,0.7892436713614204,0.015057587400196118,Not Significant
Did you take any action after realizing the missed dose?,Contacted doctor,Categorical,4,3,75.0,55.208333333333336,19.791666666666664,0.0714454816017315,0.7892436713614204,0.015057587400196118,Not Significant
Do you consume Vitamin K foods or not?,Yes,Binary,75,43,57.333333333333336,52.0,5.333333333333336,0.05411255411255411,0.8160556781130301,0.009953697071805727,Not Significant
On which days did you miss them?,Monday,Categorical,11,7,63.63636363636363,55.0561797752809,8.58018386108273,0.047921945266174146,0.8267195210321756,0.00830393762879252,Not Significant
How often do you usually forget to take warfarin in a month?,Less than 2 times,Categorical,11,7,63.63636363636363,55.0561797752809,8.58018386108273,0.047921945266174146,0.8267195210321756,0.00830393762879252,Not Significant
Name of the medicine,Amiodarone,Categorical,3,1,33.33333333333333,56.70103092783505,23.36769759450172,0.04518677199089567,0.8316609656950762,0.007606697560304156,Not Significant
What was the reason for missing the dose?,Forgot,Categorical,14,7,50.0,56.97674418604651,6.97674418604651,0.03896643223885757,0.8435151792405873,0.006097655164531428,Not Significant
Portion Size Category,Large (25g-60g),Categorical,32,17,53.125,57.35294117647059,4.227941176470587,0.032900233957219416,0.856066006885106,0.00473546204787682,Not Significant
Did you take any action after realizing the missed dose?,Skipped it,Categorical,12,6,50.0,56.81818181818182,6.81818181818182,0.018601190476190414,0.8915159972479367,0.002017931598810694,Not Significant
Who recommended it?,Doctor,Categorical,13,8,61.53846153846154,55.172413793103445,6.366047745358095,0.01736768978148283,0.8951531402458786,0.0018209477347722182,Not Significant
"If Yes
How often did you eat leafy greens (spinach, kale, etc.) this week?",1-2 times,Categorical,21,11,52.38095238095239,56.9620253164557,4.581072935503315,0.016537109665500184,0.8976767825234335,0.0016921302687368048,Not Significant
"If Yes
What kind of change?",Started keto diet,Categorical,6,4,66.66666666666666,55.319148936170215,11.347517730496442,0.01410380399742105,0.9054659453667031,0.0013332897776295127,Not Significant
Who recommended it?,Pharmacist,Categorical,10,5,50.0,56.666666666666664,6.666666666666664,0.0045093795093794934,0.946460765996684,0.00024142872476242677,Not Significant
Have you started any new antibiotics medicines recommended by a doctor recently?,Yes,Binary,31,18,58.06451612903226,55.072463768115945,2.9920523609163183,0.0037188150792639174,0.9513734740617593,0.00018083305791134747,Not Significant
Who recommended the change?,Doctor,Categorical,8,5,62.5,55.434782608695656,7.065217391304344,0.00022056747600226052,0.9881506416611499,2.6135830610465154e-06,Not Significant
Who recommended it?,Self,Categorical,8,5,62.5,55.434782608695656,7.065217391304344,0.00022056747600226052,0.9881506416611499,2.6135830610465154e-06,Not Significant
Missed Dose Frequency Category,Occasionally (3-5 times),Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
How often do you usually forget to take warfarin in a month?,3-5 times,Categorical,9,5,55.55555555555556,56.043956043956044,0.48840048840048667,0.0,1.0,0.0,Not Significant
On which days did you miss them?,Weekend,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
How often do you usually forget to take warfarin in a month?,More than 5 times,Categorical,8,4,50.0,56.52173913043478,6.521739130434781,0.0,1.0,0.0,Not Significant
On which days did you miss them?,Tuesday,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
Standard Range,2.0-3.0,Categorical,59,33,55.932203389830505,56.09756097560976,0.16535758577925463,0.0,1.0,0.0,Not Significant
Standard Range,2.5-3.5,Categorical,41,23,56.09756097560976,55.932203389830505,0.16535758577925463,0.0,1.0,0.0,Not Significant
What was the reason for missing the dose?,Busy schedule,Categorical,5,3,60.0,55.78947368421052,4.21052631578948,0.0,1.0,0.0,Not Significant
What was your INR value two months ago?,2.16,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Valve Type,Mechanical Mitral,Categorical,41,23,56.09756097560976,55.932203389830505,0.16535758577925463,0.0,1.0,0.0,Not Significant
Valve Type,Mechanical Aortic,Categorical,59,33,55.932203389830505,56.09756097560976,0.16535758577925463,0.0,1.0,0.0,Not Significant
On which days did you consume them?,Daily,Categorical,14,8,57.14285714285714,55.81395348837209,1.328903654485046,0.0,1.0,0.0,Not Significant
"If Yes ,
How many extra doses?",1.0,Categorical,11,6,54.54545454545454,56.17977528089888,1.6343207354443408,0.0,1.0,0.0,Not Significant
Did you take any action after realizing the missed dose?,Other,Categorical,8,4,50.0,56.52173913043478,6.521739130434781,0.0,1.0,0.0,Not Significant
Did you notice any symptoms,Bleeding,Categorical,20,11,55.00000000000001,56.25,1.249999999999993,0.0,1.0,0.0,Not Significant
Leafy Greens Consumption Category,Moderate (3-4 times),Categorical,31,17,54.83870967741935,56.52173913043478,1.683029453015429,0.0,1.0,0.0,Not Significant
Usual portion size:,10g-15g,Categorical,13,7,53.84615384615385,56.32183908045977,2.475685234305921,0.0,1.0,0.0,Not Significant
Usual portion size:,20g-25g,Categorical,11,6,54.54545454545454,56.17977528089888,1.6343207354443408,0.0,1.0,0.0,Not Significant
When did you make these changes?,1 month ago,Categorical,8,4,50.0,56.52173913043478,6.521739130434781,0.0,1.0,0.0,Not Significant
"If Yes
What kind of change?",Increased green leaves,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
"If Yes
What kind of change?",Reduced vitamin K foods,Categorical,6,3,50.0,56.38297872340425,6.38297872340425,0.0,1.0,0.0,Not Significant
Usual portion size:,40g-60g,Categorical,13,7,53.84615384615385,56.32183908045977,2.475685234305921,0.0,1.0,0.0,Not Significant
Portion Size Category,Not specified,Categorical,32,18,56.25,55.88235294117647,0.367647058823529,0.0,1.0,0.0,Not Significant
"If Yes
What kind of change?",Started vegetarian diet,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
When did you make these changes?,6 months ago,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
When did you make these changes?,3 months ago,Categorical,7,4,57.14285714285714,55.91397849462365,1.22887864823349,0.0,1.0,0.0,Not Significant
Who recommended the change?,Family,Categorical,5,3,60.0,55.78947368421052,4.21052631578948,0.0,1.0,0.0,Not Significant
Who recommended the change?,Nutritionist,Categorical,6,3,50.0,56.38297872340425,6.38297872340425,0.0,1.0,0.0,Not Significant
Name of the medicine,Cetirizine,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Name of the medicine,Metronidazole,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Name of the medicine,Co-amoxiclav,Categorical,3,2,66.66666666666666,55.670103092783506,10.99656357388315,0.0,1.0,0.0,Not Significant
Are you still taking it?,Yes,Binary,15,8,53.333333333333336,56.470588235294116,3.1372549019607803,0.0,1.0,0.0,Not Significant
